age,experience_years,education_level,technical_skill_score,communication_score,certifications_count,avg_daily_focus_hours,remote_work_ratio,sleep_hours,stress_level,project_complexity,team_size,manager_rating,productivity_score
43,21,1,45,41,9,6.48,0.19,6.67,7,2,11,4,92.45831670194818
40,15,4,54,79,3,9.42,0.92,8.98,10,1,11,2,89.13987262803991
45,7,2,57,56,8,8.43,0.55,8.0,3,2,9,2,71.3041173464203
23,3,4,71,94,9,3.91,0.3,8.23,8,1,10,4,70.89295807474714
25,7,3,95,73,5,6.96,0.43,7.18,3,4,12,1,72.45547350003106
39,3,4,50,81,5,6.1,0.31,4.21,1,4,5,4,67.45526847969117
27,23,1,59,99,0,8.58,0.73,5.03,10,5,6,5,100.0
41,24,1,63,55,9,8.07,0.8,8.63,5,2,6,4,100.0
29,2,5,54,77,1,7.83,0.83,5.83,2,2,9,3,68.17475344281462
27,2,5,87,99,5,5.38,0.99,4.52,10,1,10,5,71.47767711786742
38,17,3,46,41,1,8.63,0.79,7.51,6,4,8,2,65.81433342951189
24,18,2,60,41,2,3.37,0.6,5.5,10,1,6,5,67.88538396551169
45,18,4,81,65,3,4.12,0.34,5.34,9,4,4,1,76.05215162821116
48,20,3,65,52,4,5.35,0.54,8.99,1,1,2,1,93.21446074172867
34,4,5,83,95,8,3.54,0.04,8.29,4,4,12,4,72.66855822021758
38,17,4,95,86,3,4.64,0.74,6.04,1,1,10,5,100.0
46,9,5,53,70,8,8.81,0.45,8.9,1,4,6,2,89.63798981641975
29,21,4,96,99,9,9.64,0.02,7.25,8,1,10,1,100.0
46,20,2,76,73,2,5.13,0.06,7.71,2,2,11,2,92.94105399892078
41,5,3,97,78,7,4.85,0.39,4.16,1,5,13,3,74.37348360531423
22,0,4,60,42,0,4.96,0.58,4.61,8,1,14,1,25.744767283892273
40,4,1,57,47,8,4.94,0.46,7.17,4,5,5,4,67.36524317968353
48,8,1,44,62,8,3.25,0.62,8.5,3,2,6,3,70.62188482553604
35,11,4,42,53,9,9.49,0.48,7.12,4,2,5,5,98.22201632462581
48,13,4,62,95,1,4.5,0.66,4.67,5,4,3,2,69.74559794266943
27,1,4,65,94,3,5.94,0.22,4.58,1,5,13,1,54.53626618969692
32,16,1,76,66,7,3.07,0.11,8.22,1,3,2,3,92.4483579777282
49,13,1,63,93,6,9.01,0.6,4.7,3,4,9,3,100.0
28,12,4,88,68,0,8.12,0.48,6.6,6,5,5,1,77.9109530611788
35,8,5,58,78,4,9.63,0.03,4.19,1,1,6,5,99.08106617538866
23,24,5,90,92,6,8.47,0.38,4.4,2,1,7,5,100.0
34,14,2,64,78,3,5.2,0.11,7.36,7,2,9,4,82.36201887888528
37,24,3,60,40,0,4.74,0.53,7.45,1,3,12,5,99.98522275032549
24,21,5,51,56,8,7.88,0.4,5.71,7,1,9,4,100.0
38,14,1,96,80,4,5.55,0.61,5.08,4,5,8,3,81.75851735118862
28,23,5,80,69,1,6.96,0.81,8.07,10,5,5,1,85.08016847282677
24,10,2,72,92,7,3.04,0.3,5.09,6,1,7,5,85.75600803683352
22,15,2,89,52,1,3.43,0.96,6.71,8,5,5,4,78.6309215993568
26,16,3,92,60,2,6.75,0.54,8.84,9,5,8,3,84.37461679325095
42,3,5,43,58,9,6.96,0.62,4.74,6,2,13,5,70.57551084920829
30,0,1,81,92,0,8.26,0.68,8.7,9,3,14,2,56.29316898773275
24,7,1,96,58,1,3.92,0.67,4.91,4,2,13,3,63.382088439396234
42,16,4,46,96,6,6.59,0.51,6.84,6,3,14,5,100.0
49,2,1,61,64,9,4.36,0.43,5.89,8,5,14,3,43.457071214932654
38,19,3,94,61,1,3.65,0.05,8.82,9,3,12,1,74.14248690407183
46,14,3,72,70,5,5.87,0.02,5.37,3,5,2,1,79.38807170543012
32,14,1,56,56,2,4.14,0.36,6.0,2,5,6,1,55.104727118142875
22,23,1,63,94,3,4.55,0.33,8.91,6,2,11,2,95.19471029048024
30,21,4,73,62,7,5.22,0.39,6.68,4,2,13,1,96.86993375853149
24,13,1,67,71,2,4.82,0.14,6.51,1,4,11,2,74.48562013021103
34,22,4,97,49,9,3.61,0.74,5.29,8,1,5,1,88.66789000578696
36,13,4,82,49,5,3.63,0.86,7.51,9,4,12,3,69.25088701714199
35,23,1,80,75,0,4.35,0.94,4.07,9,4,8,5,95.86157500580404
28,1,2,78,47,6,3.35,0.49,4.25,2,3,14,5,66.48409544627022
34,12,2,61,93,7,7.39,0.7,7.0,9,5,10,1,72.11420886177443
43,13,4,88,91,7,5.01,0.86,5.71,7,5,6,5,91.79718491512202
48,23,1,56,59,2,4.96,0.42,8.77,5,5,5,1,90.34090726332383
45,18,2,73,71,9,5.32,0.31,8.52,7,1,10,1,88.56834579875957
28,6,1,45,89,0,7.64,0.94,7.57,9,3,6,4,55.39443318265608
41,2,1,85,53,8,9.09,0.52,8.09,8,3,10,4,75.14213637605067
36,14,1,45,89,5,8.31,0.5,7.34,6,5,9,4,87.32529476844441
33,22,5,73,67,8,8.09,0.18,4.63,4,4,5,2,100.0
38,13,1,40,85,6,6.39,0.11,7.83,1,1,12,4,100.0
35,10,5,49,91,0,7.86,0.84,5.05,6,4,12,1,56.83126090997697
41,14,4,60,92,0,6.87,0.61,5.62,3,2,8,3,88.19718534396853
44,12,2,44,63,5,4.51,0.33,8.1,6,3,6,4,65.01663487535744
46,17,2,41,54,4,4.46,0.19,6.68,6,3,11,4,73.27487614301987
45,5,2,61,61,8,5.07,0.56,8.3,4,4,5,3,74.39057974947517
48,2,2,87,69,1,9.38,0.58,5.07,2,1,6,1,73.44722527860945
48,18,2,96,43,7,6.83,0.21,7.04,9,3,6,2,91.23685297594194
48,14,2,41,52,4,8.14,0.85,4.42,2,4,12,4,82.42259385936073
33,24,2,49,98,1,5.43,0.08,7.22,3,1,10,3,100.0
29,22,4,73,62,9,5.85,0.36,7.81,10,4,13,1,96.4656076077925
49,4,1,55,47,5,3.88,0.68,6.92,1,1,10,5,72.03681123218455
35,9,3,87,57,9,4.2,0.27,5.33,7,5,7,2,66.40142574178547
33,6,5,90,51,7,8.79,0.83,4.16,1,1,5,3,96.7730362848497
21,24,3,78,94,3,7.09,0.74,4.6,9,2,3,3,100.0
45,16,3,61,70,1,5.36,0.79,7.11,1,5,4,3,80.18280173074061
27,6,1,51,53,4,8.62,0.12,8.67,5,4,3,4,67.91595875738962
29,21,1,63,73,1,4.73,0.14,5.03,7,5,6,5,100.0
44,11,1,86,57,1,9.83,0.29,7.68,3,5,7,2,86.6500129172332
21,24,2,79,95,5,5.41,0.52,8.33,9,4,12,1,86.5847899434523
32,16,4,77,73,9,5.36,0.75,6.6,8,4,6,1,83.83105074123206
28,12,2,99,50,8,5.18,0.84,7.35,3,2,3,5,100.0
44,19,4,98,80,3,3.85,0.7,8.08,5,4,13,3,90.92810909923637
31,24,4,49,51,5,3.78,0.93,5.3,7,3,6,3,82.95578851658261
39,3,3,74,88,6,7.54,0.74,5.48,4,3,10,3,84.18885477479259
37,9,3,90,54,5,9.13,0.31,4.0,5,2,5,3,89.86456234413114
28,2,4,88,96,7,8.53,0.27,8.82,3,1,13,3,89.47560888604355
23,8,4,71,70,3,3.99,0.7,8.59,9,1,11,5,61.589709850607605
23,12,2,46,88,0,6.82,0.19,7.82,10,3,3,4,72.71283154240433
21,17,2,60,97,6,3.74,0.09,4.4,9,4,4,2,74.67765481624687
47,14,3,59,68,2,3.32,0.53,6.24,7,2,4,3,56.405085324216145
25,3,1,65,65,5,7.59,0.82,4.51,10,1,10,4,55.40681242616873
30,14,4,43,57,1,6.75,0.1,4.08,2,1,5,1,69.74209692408651
27,21,2,85,71,8,3.57,0.79,7.08,7,5,2,5,97.54578853418681
46,1,3,91,61,0,3.24,0.81,8.8,7,3,2,4,44.140191231500104
29,14,2,61,77,5,9.93,0.48,8.51,5,4,8,3,100.0
48,7,4,54,56,5,3.21,0.06,7.48,9,2,8,3,53.06761506833052
27,7,4,95,62,4,6.11,0.17,4.48,3,1,3,3,70.8432748850283
29,16,5,79,63,4,6.53,0.71,5.37,4,5,10,4,92.81839044389748
28,11,1,60,89,0,3.82,0.71,5.6,1,3,10,3,74.31253296323065
32,18,5,54,47,9,4.18,0.9,7.82,6,3,6,4,79.75533033031681
22,9,3,61,80,4,5.46,0.58,8.01,4,2,4,3,78.35193152767971
21,8,2,91,45,1,8.33,0.12,5.93,1,1,4,1,69.08305337430039
36,4,3,67,44,6,6.55,0.12,6.09,2,2,13,1,68.03473478885185
43,5,4,53,83,2,7.47,0.72,4.22,3,2,4,2,74.11764990861441
43,19,5,66,96,3,9.9,0.18,5.45,9,5,7,3,100.0
44,1,5,80,68,2,8.38,0.33,6.26,8,3,5,3,51.368353728835444
25,23,5,79,67,2,6.04,0.49,4.58,7,4,9,4,93.36551320749932
23,12,3,97,50,3,6.13,0.02,6.27,4,3,14,4,92.95336017126365
32,5,4,67,96,4,7.33,0.25,8.27,1,3,12,3,88.70340027532988
28,4,2,65,40,0,7.66,0.41,6.91,8,5,14,2,47.02476330679286
42,24,2,88,82,3,6.5,0.28,4.39,4,4,12,3,100.0
47,0,3,41,58,7,7.51,0.14,4.96,3,1,12,4,72.31413680982517
23,20,5,64,48,9,3.16,0.73,6.37,9,4,6,3,80.79125197764617
21,21,1,95,66,6,6.01,0.81,5.81,10,1,2,4,100.0
23,20,3,42,73,8,4.95,0.26,5.79,4,4,10,3,85.20911396037299
25,5,3,47,83,4,3.9,0.77,6.65,4,2,2,5,65.90947297392101
35,5,4,83,43,9,3.7,0.39,6.92,9,4,7,4,59.37555798834551
34,22,2,72,75,3,7.22,0.51,7.98,2,5,2,2,98.51157713337872
23,15,3,81,57,7,6.67,0.86,5.7,5,1,4,5,100.0
21,3,3,91,54,8,4.78,0.75,8.03,4,3,11,3,64.62810516460259
25,10,5,74,90,6,6.3,0.81,5.69,9,5,6,4,84.16666168173585
46,23,5,45,52,6,6.45,0.14,4.28,5,1,11,5,100.0
43,22,1,78,58,4,4.37,0.07,6.77,9,1,8,2,84.31198155580843
34,8,4,91,88,3,7.56,0.89,6.94,9,3,11,4,82.52420303913044
27,22,1,62,45,9,8.47,0.39,8.67,2,2,9,5,100.0
47,2,5,64,87,0,8.54,0.29,7.63,9,5,13,5,55.70153618440368
29,18,2,98,95,9,7.22,0.72,8.59,3,3,10,5,100.0
35,7,5,89,51,9,6.58,0.84,8.54,4,3,7,1,74.6803596479545
35,4,4,82,90,6,3.43,0.86,7.02,1,2,12,3,77.59600906244512
46,3,5,58,76,0,5.01,0.32,6.64,1,5,10,4,60.85578183448003
30,23,4,44,56,0,3.65,0.85,6.79,1,3,9,4,84.25611166751351
48,5,4,90,97,4,9.75,0.04,8.89,9,2,10,4,86.24635558553922
33,1,4,50,62,8,3.95,0.05,7.87,8,5,11,5,45.65972339709223
39,19,4,95,65,5,4.06,0.62,4.53,5,4,5,3,78.13516631274683
27,10,4,51,68,2,9.23,0.06,7.89,5,1,10,2,91.46792765761475
37,3,2,49,72,2,9.61,0.32,4.85,9,2,8,4,57.93674637023545
40,14,1,47,99,6,8.36,0.67,6.24,3,1,6,3,96.76423922927597
49,5,3,63,66,5,3.04,0.34,5.05,3,4,6,3,51.98781938819704
24,21,1,99,64,8,3.01,0.18,7.45,7,3,2,1,85.74253522651414
25,16,4,67,95,5,5.65,0.28,8.39,9,3,3,4,88.10663842542941
43,23,2,80,94,4,4.0,0.46,5.45,6,5,11,5,100.0
27,5,5,75,49,9,3.13,0.48,4.41,2,2,4,3,69.2182566422616
33,18,2,76,86,6,6.25,0.78,5.49,1,2,9,3,100.0
35,24,4,60,62,0,9.6,0.75,7.36,2,5,7,2,100.0
31,1,2,47,60,6,5.27,0.46,5.64,1,1,13,1,50.78801734732458
49,14,2,94,60,2,7.63,0.85,5.39,10,3,11,3,81.69574697787833
24,10,4,48,82,8,7.57,0.11,4.92,10,3,12,3,68.40214967393509
33,7,2,86,52,5,4.76,0.26,6.49,9,2,14,5,79.40566750476285
27,18,3,54,76,8,7.55,0.83,5.38,10,2,6,5,100.0
47,12,3,87,72,4,4.49,0.38,7.66,8,5,14,2,67.70506315233317
39,11,2,85,63,6,3.85,0.98,4.38,7,4,2,2,66.65278359064637
42,4,5,79,83,3,7.91,0.47,7.32,3,1,13,2,76.87080271681631
48,5,4,57,50,6,3.79,0.79,5.19,8,4,12,5,54.778087106945996
22,21,3,81,56,0,9.98,0.4,6.45,2,4,13,5,100.0
30,3,5,99,43,6,4.28,0.42,5.43,2,2,10,1,68.55333725712687
33,18,2,59,86,7,7.16,0.38,7.61,10,2,4,4,94.74431109877808
45,19,5,45,64,4,5.88,0.72,8.73,3,2,4,4,100.0
41,0,1,51,69,1,3.88,0.55,8.59,7,4,3,1,28.349078553812912
26,19,3,41,48,4,3.19,0.94,6.92,1,1,5,4,75.36456674935154
48,16,2,46,60,5,7.36,0.25,6.31,8,2,13,5,81.97188275075474
48,11,4,55,59,1,8.65,0.1,8.09,7,3,3,4,64.51972446640869
32,14,2,42,58,5,8.89,0.39,7.42,4,1,14,5,90.39975972840551
32,0,4,84,58,5,6.38,0.62,4.92,5,3,10,1,44.7719916290531
40,13,2,42,51,0,8.44,0.86,8.1,10,1,13,2,61.882837451909204
31,5,5,66,76,0,7.71,0.35,6.14,1,2,11,1,65.54957329196861
46,4,5,89,81,9,8.07,0.65,4.94,4,5,8,4,92.81269959014446
43,10,5,82,56,2,6.45,0.35,5.41,1,2,9,5,92.9595020866302
48,3,1,79,76,9,7.43,0.62,5.34,1,4,4,4,87.48845465927582
45,12,4,77,93,9,8.64,0.88,6.6,10,4,7,4,100.0
27,10,5,72,87,2,5.79,0.23,5.17,1,1,11,2,84.98411316929251
21,2,1,67,78,3,8.64,0.4,4.62,7,4,7,4,65.71744241248713
21,0,4,40,67,1,7.14,0.99,4.62,7,2,14,2,35.05279539965978
45,5,2,94,80,8,4.16,0.87,6.92,4,3,2,5,80.30043242165186
47,17,1,47,74,9,3.17,0.56,7.67,2,2,7,5,100.0
45,23,3,76,86,6,5.54,0.52,5.61,3,1,14,2,100.0
40,9,1,71,87,6,6.83,0.28,4.17,8,4,4,1,76.047893694745
33,4,1,99,57,5,8.88,0.52,4.64,8,3,12,5,85.13455796651408
29,22,4,87,53,2,3.89,0.85,8.57,6,5,4,1,77.90448581280228
23,9,2,82,74,5,8.6,0.69,6.47,10,3,4,5,88.75505139385159
27,11,3,76,83,7,9.04,0.29,6.27,9,3,11,5,96.11849698898031
26,1,5,43,80,7,4.05,0.2,4.19,9,2,12,3,48.87692567036885
28,12,5,69,99,8,8.96,0.27,7.64,4,5,12,4,100.0
47,7,1,45,46,0,9.94,0.17,6.64,1,1,11,4,78.17721826808108
29,1,4,85,80,0,8.09,0.1,5.01,1,1,12,1,77.05654819907369
25,19,4,93,52,2,8.49,0.42,4.55,10,3,9,4,100.0
21,0,5,58,57,2,9.96,0.11,5.92,5,3,14,1,51.268421697155354
39,4,3,71,76,9,7.24,0.17,8.19,2,4,6,5,93.07371637528969
30,8,2,48,52,7,5.16,0.55,8.33,6,5,5,3,60.80748443490092
32,16,3,51,75,9,8.86,0.16,7.01,7,3,14,3,95.98996996402147
44,8,2,50,70,0,7.3,0.06,7.64,1,4,10,5,88.46572528236506
35,10,5,85,41,1,7.07,0.32,4.58,6,5,10,2,67.49802230495345
47,14,2,94,55,1,4.78,0.22,6.94,8,1,2,2,69.3351581968447
42,23,4,55,48,2,8.29,0.52,7.33,5,4,3,4,94.83015161535695
44,5,1,40,48,5,3.57,0.1,5.0,7,5,9,1,27.374515397738865
29,22,1,84,77,0,9.47,0.75,8.4,10,4,6,3,100.0
40,2,5,94,50,1,5.28,0.91,4.97,6,3,8,4,57.33243163840472
37,16,4,92,93,0,3.89,0.74,5.57,4,2,2,5,100.0
37,4,3,60,95,4,6.1,0.53,7.1,7,1,13,3,70.48198142480686
46,11,4,69,61,6,3.3,0.86,7.19,10,3,11,1,63.44356765216144
40,17,1,52,72,7,7.79,0.69,7.5,9,3,13,1,77.77763383155822
32,13,1,73,75,9,9.32,0.01,4.56,10,5,6,2,77.81724696333386
27,20,4,43,84,0,8.86,0.39,8.25,10,4,12,4,95.24201032665363
22,23,4,67,62,6,3.89,0.85,6.66,7,1,13,5,96.38449588840464
23,10,1,77,84,4,3.88,0.35,6.36,5,3,4,3,67.55785646272105
37,8,3,97,84,9,8.69,0.04,8.91,7,5,11,1,92.8022512998345
25,1,5,70,73,0,9.47,0.75,7.7,3,1,13,3,75.8411576386874
37,11,5,98,48,2,6.22,0.8,4.59,2,4,13,5,95.08420170613091
44,2,4,94,63,6,6.49,0.16,7.78,5,3,3,3,70.52039501273262
37,2,5,66,47,9,5.23,0.54,4.48,4,3,3,4,64.69397991302372
47,0,1,44,46,0,9.26,0.19,4.14,5,3,10,2,40.425869875028305
37,7,1,64,75,6,7.51,0.72,6.02,8,1,14,3,72.81478412862292
22,21,4,42,57,4,5.02,0.27,8.97,4,1,5,2,85.32292309484639
22,7,4,72,42,0,5.09,0.32,4.87,9,1,5,5,52.89775054030289
48,10,4,43,67,0,9.24,0.84,7.36,7,1,8,2,62.41885742013771
42,8,3,64,45,0,3.1,0.48,4.87,10,5,11,3,27.440408755679023
43,4,5,59,83,8,5.26,0.67,7.62,7,2,11,3,65.46963726050157
25,13,4,73,83,2,6.88,0.4,6.53,8,5,14,1,69.03050600542163
21,2,2,65,60,4,4.04,0.3,7.4,6,3,3,3,58.0125771813259
21,20,2,44,67,9,3.64,0.63,5.01,8,5,4,2,77.39777461016278
39,4,1,74,79,8,8.71,0.15,7.73,3,4,4,1,73.3497896654231
22,4,5,67,93,5,9.26,0.37,8.98,10,1,7,3,71.47822499150134
41,18,4,68,93,8,8.77,0.21,7.33,10,4,4,3,100.0
32,13,2,48,40,7,9.29,0.7,6.47,1,4,12,5,99.908063132725
46,3,5,91,75,7,6.87,0.94,8.62,6,3,6,1,69.80142959605799
26,24,1,77,60,0,8.69,1.0,4.08,1,1,5,5,100.0
43,12,3,89,99,8,5.69,0.45,7.65,9,4,4,5,94.30677867405
24,9,5,45,82,5,7.66,0.25,8.44,2,3,9,5,87.20103354463501
43,24,5,58,74,8,9.92,0.44,4.31,2,1,11,4,100.0
31,17,3,99,52,2,4.58,0.85,6.25,7,2,4,5,89.2136435768897
44,7,5,83,96,2,5.73,0.21,5.02,2,3,7,2,72.37940358112738
47,7,1,96,88,5,6.36,0.95,6.83,10,5,14,3,80.67231965431237
37,6,1,50,93,8,3.97,0.34,7.25,8,1,8,4,68.63355075823029
26,7,3,41,93,6,3.57,0.99,5.51,6,4,8,5,65.83349274445833
44,13,4,86,49,2,8.81,0.84,6.3,7,4,3,3,80.55057841913548
25,18,2,83,92,2,9.84,0.81,5.4,7,5,4,1,96.46439554665466
40,5,4,83,83,1,5.83,0.32,5.85,6,5,13,1,61.00831943028037
22,0,5,48,86,8,3.61,0.01,4.8,10,4,11,3,44.04632238127869
26,22,2,60,92,2,3.46,0.38,8.43,9,1,11,2,86.88794543655756
42,14,3,63,49,4,9.24,0.3,4.05,9,3,5,3,76.98735608908011
31,0,3,73,85,8,6.25,0.04,8.41,7,5,8,3,60.129353791083105
36,24,2,61,52,7,5.24,0.51,6.86,9,5,3,4,90.5531094407052
36,16,1,42,76,1,6.34,0.4,5.66,10,5,4,1,57.355156994016205
21,0,2,51,77,2,5.23,0.63,7.62,3,2,8,1,50.752955040291056
29,14,5,67,63,1,6.42,0.62,6.54,3,1,8,5,96.15701922451922
48,22,1,69,41,7,9.02,0.12,6.5,1,1,11,3,100.0
47,1,3,65,61,5,7.15,0.98,4.55,5,1,4,3,61.7073819477493
26,13,2,87,56,5,7.86,0.19,5.95,4,1,13,2,88.84519472991477
36,20,4,60,75,8,5.55,0.45,5.21,2,1,2,1,100.0
49,7,4,67,53,7,8.17,0.49,4.08,9,4,13,2,64.3042918161141
23,7,5,95,49,3,7.67,0.81,5.8,3,5,4,4,83.92351126582334
40,18,4,65,74,3,3.84,0.1,4.45,8,4,6,5,85.18610081483249
48,6,2,72,64,8,7.01,0.43,5.28,6,2,8,2,70.00782813324263
47,18,2,60,42,0,4.8,0.63,4.46,5,3,5,1,67.27868023885
24,5,4,74,86,1,8.63,0.22,4.5,1,5,14,4,88.15685267914584
39,5,2,91,77,1,5.98,0.63,5.0,4,2,14,3,78.52053853950977
46,2,5,73,56,5,9.96,0.92,9.0,3,4,12,4,76.03241700407314
23,6,1,80,51,3,3.65,1.0,4.01,1,3,12,2,64.30502965865243
39,18,5,90,93,9,8.46,0.03,7.19,5,2,2,1,100.0
40,7,5,86,91,2,7.72,0.24,4.71,6,3,7,2,73.32054625470238
27,9,2,57,63,2,8.37,0.31,8.6,2,2,3,3,77.56276800283725
40,19,1,97,68,2,5.15,0.4,4.47,3,4,13,3,100.0
29,14,2,50,82,5,6.44,0.24,8.78,6,3,4,1,76.8147960349024
21,14,3,96,64,7,8.58,0.2,7.05,4,2,5,5,100.0
28,0,2,62,75,6,4.63,0.95,4.01,9,4,7,4,41.492697015212435
27,19,2,87,97,3,4.58,0.92,8.47,5,5,7,4,100.0
38,6,2,61,99,3,6.86,0.05,6.61,4,4,8,3,71.08701451067537
28,3,1,56,65,9,6.66,0.34,5.31,2,4,6,2,58.85961872685793
21,5,2,44,77,1,4.98,0.41,7.84,6,5,8,2,40.10398738075768
31,24,1,83,40,0,5.09,0.24,8.63,10,4,3,5,93.18304907517287
48,0,4,50,59,8,4.94,0.63,6.42,2,5,2,2,49.362946445445026
45,4,3,69,94,1,8.4,0.64,5.58,7,5,13,4,76.53052022509331
45,22,1,54,67,7,7.56,0.85,7.94,3,5,11,2,90.8438129479063
38,0,4,66,55,8,8.83,0.74,7.41,9,2,9,5,74.97996185743574
43,3,1,74,86,3,9.83,0.54,8.44,5,3,2,4,79.17048310116905
30,21,1,72,56,7,6.32,0.65,7.46,8,2,13,2,90.81789332021809
23,1,3,59,79,8,3.47,0.27,5.22,6,5,3,4,46.654030816758734
27,9,5,55,67,9,3.34,0.59,8.66,10,3,12,3,61.245409245713795
48,4,5,73,97,9,5.07,0.49,4.52,8,3,13,3,60.37619003003212
36,9,1,41,51,4,9.53,0.13,5.34,3,5,11,3,77.67951822298959
46,0,2,74,66,6,6.66,0.24,6.6,3,3,7,2,54.313179674791186
36,21,4,79,93,9,4.9,0.29,6.83,5,3,2,5,100.0
45,5,2,95,92,3,5.79,0.92,4.08,10,2,11,4,65.8139269165866
40,12,2,67,81,0,7.19,0.23,7.9,3,3,4,1,71.79025016303251
48,14,1,86,98,2,7.57,0.29,5.81,8,5,8,3,92.32037970549752
37,3,1,78,86,4,4.08,0.37,6.03,10,1,13,3,62.85978266810826
22,12,1,45,69,2,9.84,0.66,8.05,8,1,9,1,67.25703225529986
21,23,1,48,80,6,6.81,0.12,5.9,2,1,5,1,100.0
36,19,5,59,73,8,3.95,0.95,4.24,4,5,13,2,89.09958654536256
32,23,1,99,76,5,9.26,0.87,4.88,10,1,4,4,100.0
25,14,5,40,45,9,3.52,0.58,8.78,1,2,2,3,82.31378813646498
25,7,5,47,46,0,9.35,0.67,4.35,4,5,13,5,69.82960264247984
47,4,1,94,71,6,9.98,0.02,5.77,4,5,10,2,80.57270060621735
43,14,3,62,71,2,7.9,0.34,6.52,10,5,11,2,60.900921525489515
29,3,4,42,92,4,8.39,0.8,6.47,9,3,7,5,66.41521598962335
29,11,2,43,64,9,5.36,0.08,4.02,3,3,7,5,91.57187852324029
23,12,5,97,72,3,9.59,0.28,6.51,2,3,10,5,100.0
39,1,4,64,94,9,6.71,0.59,5.92,9,4,2,1,43.78864682905335
36,18,3,86,97,4,8.13,0.26,8.86,9,2,7,3,100.0
36,18,2,77,46,4,9.47,0.93,4.8,1,5,13,1,100.0
23,3,2,54,91,5,9.83,0.13,5.77,6,5,6,3,75.94974967743875
40,3,5,60,96,9,8.83,0.8,6.1,10,3,14,1,59.78768897108707
